profundidade, Hreal, Himag, rho 
 -0.9100000381469727E+01, -0.7607145738098478E-01, -0.1328316167022998E-04, 100.0
 -0.9000000000000000E+01, -0.7607148809002517E-01, -0.1383637379261603E-04, 100.0
 -0.8899999618530273E+01, -0.7607151996517096E-01, -0.1443948765933606E-04, 100.0
 -0.8800000190734863E+01, -0.7607155308375033E-01, -0.1509916498657250E-04, 100.0
 -0.8699999809265137E+01, -0.7607158753103335E-01, -0.1582328602804526E-04, 100.0
 -0.8600000381469727E+01, -0.7607162340138680E-01, -0.1662123974732459E-04, 100.0
 -0.8500000000000000E+01, -0.7607166079965366E-01, -0.1750430085526735E-04, 100.0
 -0.8399999618530273E+01, -0.7607169984282208E-01, -0.1848612560959589E-04, 100.0
 -0.8300000190734863E+01, -0.7607174066204303E-01, -0.1958341238771007E-04, 100.0
 -0.8199999809265137E+01, -0.7607178340511075E-01, -0.2081679459327922E-04, 100.0
 -0.8100000381469727E+01, -0.7607182823953625E-01, -0.2221206705693239E-04, 100.0
 -0.8000000000000000E+01, -0.7607187535639715E-01, -0.2380190071586417E-04, 100.0
 -0.7900000095367432E+01, -0.7607192497522888E-01, -0.2562828819889464E-04, 100.0
 -0.7800000190734863E+01, -0.7607197735032924E-01, -0.2774611107648102E-04, 100.0
 -0.7699999809265137E+01, -0.7607203277901459E-01, -0.3022847766714651E-04, 100.0
 -0.7599999904632568E+01, -0.7607209161265355E-01, -0.3317494718455661E-04, 100.0
 -0.7500000000000000E+01, -0.7607215427173383E-01, -0.3672463734451096E-04, 100.0
 -0.7400000095367432E+01, -0.7607222126697488E-01, -0.4107796068616947E-04, 100.0
 -0.7300000190734863E+01, -0.7607229322985765E-01, -0.4653440976231625E-04, 100.0
 -0.7199999809265137E+01, -0.7607237095842503E-01, -0.5356209031081955E-04, 100.0
 -0.7099999904632568E+01, -0.7607245548925895E-01, -0.6293498506650374E-04, 100.0
 -0.7000000000000000E+01, -0.7607254821732616E-01, -0.7602906689990795E-04, 100.0
 -0.6900000095367432E+01, -0.7607251514978709E-01, -0.6070623136426846E-04, 100.0
 -0.6800000190734863E+01, -0.7607247567523327E-01, -0.4537860692619071E-04, 100.0
 -0.6699999809265137E+01, -0.7607242977458072E-01, -0.3004589792351092E-04, 100.0
 -0.6599999904632568E+01, -0.7607237742761923E-01, -0.1470778484592700E-04, 100.0
 -0.6500000000000000E+01, -0.7607231861292607E-01,  0.6360780524198134E-06, 100.0
 -0.6400000095367432E+01, -0.7607225330776315E-01,  0.1598606543566631E-04,   1.0
 -0.6300000190734863E+01, -0.7607218148797636E-01,  0.3134258390286689E-04,   1.0
 -0.6199999809265137E+01, -0.7607210312787428E-01,  0.4670607538938149E-04,   1.0
 -0.6099999904632568E+01, -0.7607201820009937E-01,  0.6207702101350511E-04,   1.0
 -0.6000000000000000E+01, -0.7607192667547902E-01,  0.7745594543293006E-04,   1.0
 -0.5900000095367432E+01, -0.7607202605922461E-01,  0.1487308141415607E-04,   1.0
 -0.5800000190734863E+01, -0.7607212561954980E-01, -0.2986156321204280E-04,   1.0
 -0.5699999809265137E+01, -0.7607222384371641E-01, -0.6331208221419546E-04,   1.0
 -0.5599999904632568E+01, -0.7607231964074564E-01, -0.8916975722276467E-04,   1.0
 -0.5500000000000000E+01, -0.7607241218701583E-01, -0.1096659129568168E-03,   1.0
 -0.5400000095367432E+01, -0.7607250083984478E-01, -0.1262268269513295E-03,   1.0
 -0.5300000190734863E+01, -0.7607258508520898E-01, -0.1398054591685907E-03,   1.0
 -0.5199999809265137E+01, -0.7607266450421517E-01, -0.1510616889793144E-03,   1.0
 -0.5099999904632568E+01, -0.7607273875058090E-01, -0.1604659651883520E-03,   1.0
 -0.5000000000000000E+01, -0.7607280753496688E-01, -0.1683617719290645E-03,   1.0
 -0.4900000095367432E+01, -0.7607287061374808E-01, -0.1750047782438215E-03,   1.0
 -0.4800000190734863E+01, -0.7607292778078367E-01, -0.1805881974513290E-03,   1.0
 -0.4699999809265137E+01, -0.7607297886126974E-01, -0.1852596763975206E-03,   1.0
 -0.4599999904632568E+01, -0.7607302370708513E-01, -0.1891328059471237E-03,   1.0
 -0.4500000000000000E+01, -0.7607306219324758E-01, -0.1922951111145942E-03,   1.0
 -0.4400000095367432E+01, -0.7607309421518996E-01, -0.1948136707418053E-03,   1.0
 -0.4300000190734863E+01, -0.7607311968668776E-01, -0.1967390952689578E-03,   1.0
 -0.4199999809265137E+01, -0.7607313853830171E-01, -0.1981083323118317E-03,   1.0
 -0.4099999904632568E+01, -0.7607315071623959E-01, -0.1989466054475836E-03,   1.0
 -0.4000000000000000E+01, -0.7607315618158179E-01, -0.1992686833768292E-03,   1.0
 -0.3900000095367432E+01, -0.7607315490982108E-01, -0.1990796018325402E-03,   1.0
 -0.3799999952316284E+01, -0.7607314689070570E-01, -0.1983749052973371E-03,   1.0
