 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.7900000095367432E+01, -0.7607261233694804E-01, -0.3077216834850884E-04,  0.1544629080132968E+00, -0.5922190992568186E-04,  0.1000000000000000E+03
 -0.7800000190734863E+01, -0.7607268955798362E-01, -0.3339910762457037E-04,  0.1544627498357281E+00, -0.6431107539970093E-04,  0.1000000000000000E+03
 -0.7699999809265137E+01, -0.7607277149550459E-01, -0.3647904634356350E-04,  0.1544625820402862E+00, -0.7028009768045546E-04,  0.1000000000000000E+03
 -0.7599999904632568E+01, -0.7607285869918871E-01, -0.4013573588846217E-04,  0.1544624035077498E+00, -0.7736983636074026E-04,  0.1000000000000000E+03
 -0.7500000000000000E+01, -0.7607295182708305E-01, -0.4454210066893249E-04,  0.1544622128981003E+00, -0.8591711783651436E-04,  0.1000000000000000E+03
 -0.7400000095367432E+01, -0.7607305167872477E-01, -0.4994725756609641E-04,  0.1544620085829085E+00, -0.9640766780604271E-04,  0.1000000000000000E+03
 -0.7300000190734863E+01, -0.7607315924301410E-01, -0.5672348503813592E-04,  0.1544617885474856E+00, -0.1095683357908647E-03,  0.1000000000000000E+03
 -0.7199999809265137E+01, -0.7607327577006401E-01, -0.6545265678856616E-04,  0.1544615502438431E+00, -0.1265373401307311E-03,  0.1000000000000000E+03
 -0.7099999904632568E+01, -0.7607340288408795E-01, -0.7709686852093954E-04,  0.1544612903591867E+00, -0.1492018531487310E-03,  0.1000000000000000E+03
 -0.7000000000000000E+01, -0.7607354277140019E-01, -0.9336652357564692E-04,  0.1544610044292402E+00, -0.1809312207983747E-03,  0.1000000000000000E+03
 -0.6900000095367432E+01, -0.7607348953391684E-01, -0.7418031050548351E-04,  0.1544606964011757E+00, -0.2189703274323215E-03,  0.1000000000000000E+03
 -0.6800000190734863E+01, -0.7607342628166594E-01, -0.5498833050478249E-04,  0.1544603740942248E+00, -0.2569974039538106E-03,  0.1000000000000000E+03
 -0.6699999809265137E+01, -0.7607335298494843E-01, -0.3579022186640973E-04,  0.1544600376252042E+00, -0.2950117577319508E-03,  0.1000000000000000E+03
 -0.6599999904632568E+01, -0.7607326961230970E-01, -0.1658559345894508E-04,  0.1544596871166739E+00, -0.3330126414786565E-03,  0.1000000000000000E+03
 -0.6500000000000000E+01, -0.7607317613040072E-01,  0.2625978215323977E-05,  0.1544593226973443E+00, -0.3709992477266149E-03,  0.1000000000000000E+03
