profundidade, Hreal, Himag, rho 
 -0.9100000381469727E+01, -0.7607145669435877E-01, -0.1328173647594306E-04, 100.0
 -0.9000000000000000E+01, -0.7607148738963508E-01, -0.1383490419215736E-04, 100.0
 -0.8899999618530273E+01, -0.7607151925062142E-01, -0.1443797180855908E-04, 100.0
 -0.8800000190734863E+01, -0.7607155235463001E-01, -0.1509760094262827E-04, 100.0
 -0.8699999809265137E+01, -0.7607158678691410E-01, -0.1582167174293935E-04, 100.0
 -0.8600000381469727E+01, -0.7607162264182385E-01, -0.1661957306056394E-04, 100.0
 -0.8500000000000000E+01, -0.7607166002418349E-01, -0.1750257948647349E-04, 100.0
 -0.8399999618530273E+01, -0.7607169905096167E-01, -0.1848434714991350E-04, 100.0
 -0.8300000190734863E+01, -0.7607173985328931E-01, -0.1958157429091613E-04, 100.0
 -0.8199999809265137E+01, -0.7607178257893941E-01, -0.2081489416598776E-04, 100.0
 -0.8100000381469727E+01, -0.7607182739539954E-01, -0.2221010144792566E-04, 100.0
 -0.8000000000000000E+01, -0.7607187449372399E-01, -0.2379986690445716E-04, 100.0
 -0.7900000095367432E+01, -0.7607192409342228E-01, -0.2562618298250823E-04, 100.0
 -0.7800000190734863E+01, -0.7607197644876577E-01, -0.2774393105670998E-04, 100.0
 -0.7699999809265137E+01, -0.7607203185704155E-01, -0.3022621923482546E-04, 100.0
 -0.7599999904632568E+01, -0.7607209066958880E-01, -0.3317260650347938E-04, 100.0
 -0.7500000000000000E+01, -0.7607215330686251E-01, -0.3672221033324719E-04, 100.0
 -0.7400000095367432E+01, -0.7607222027954842E-01, -0.4107544299858916E-04, 100.0
 -0.7300000190734863E+01, -0.7607229221908998E-01, -0.4653179676592755E-04, 100.0
 -0.7199999809265137E+01, -0.7607236992349262E-01, -0.5355937706296744E-04, 100.0
 -0.7099999904632568E+01, -0.7607245442929594E-01, -0.6293216628836905E-04, 100.0
 -0.7000000000000000E+01, -0.7607254713142397E-01, -0.7602613694759457E-04, 100.0
 -0.6900000095367432E+01, -0.7607251405022313E-01, -0.6070314962355633E-04, 100.0
 -0.6800000190734863E+01, -0.7607247456166548E-01, -0.4537536576329678E-04, 100.0
 -0.6699999809265137E+01, -0.7607242864665176E-01, -0.3004248916736404E-04, 100.0
 -0.6599999904632568E+01, -0.7607237628495582E-01, -0.1470419973863984E-04, 100.0
 -0.6500000000000000E+01, -0.7607231745513693E-01,  0.6398489093642256E-06, 100.0
 -0.6400000095367432E+01, -0.7607225213443970E-01,  0.1599003214258009E-04,   1.0
 -0.6300000190734863E+01, -0.7607218029868894E-01,  0.3134675732925055E-04,   1.0
 -0.6199999809265137E+01, -0.7607210192217148E-01,  0.4671046724984668E-04,   1.0
 -0.6099999904632568E+01, -0.7607201697750528E-01,  0.6208164395302086E-04,   1.0
 -0.6000000000000000E+01, -0.7607192543549195E-01,  0.7746081312195721E-04,   1.0
 -0.5900000095367432E+01, -0.7607202478253960E-01,  0.1487891362641624E-04,   1.0
 -0.5800000190734863E+01, -0.7607212429998528E-01, -0.2985461902112837E-04,   1.0
 -0.5699999809265137E+01, -0.7607222247516271E-01, -0.6330387177535006E-04,   1.0
 -0.5599999904632568E+01, -0.7607231821717073E-01, -0.8916011825226896E-04,   1.0
 -0.5500000000000000E+01, -0.7607241070247249E-01, -0.1096546738261498E-03,   1.0
 -0.5400000095367432E+01, -0.7607249928847702E-01, -0.1262138052021175E-03,   1.0
 -0.5300000190734863E+01, -0.7607258346126090E-01, -0.1397904598415602E-03,   1.0
 -0.5199999809265137E+01, -0.7607266280203913E-01, -0.1510445027199134E-03,   1.0
 -0.5099999904632568E+01, -0.7607273696464743E-01, -0.1604463660851492E-03,   1.0
