 profundidade, Hreal, Himag, rho
 -0.8999999761581421E+00, -0.7607263236782728E-01, -0.6419688488502084E-04,  50.0
 -0.8000000119209290E+00, -0.7607257306874274E-01, -0.5523544638769532E-04,  50.0
 -0.6999999880790710E+00, -0.7607252072519159E-01, -0.4858957542204052E-04,  50.0
 -0.6000000238418579E+00, -0.7607247430758246E-01, -0.4349529065706691E-04,  50.0
 -0.5000000000000000E+00, -0.7607243302685916E-01, -0.3949065785391504E-04,  50.0
 -0.4000000059604645E+00, -0.7607239626175373E-01, -0.3628022895879880E-04, 160.0
 -0.3000000119209290E+00, -0.7607236351257191E-01, -0.3366637641886542E-04, 160.0
 -0.2000000029802322E+00, -0.7607233437045346E-01, -0.3151198259191404E-04, 160.0
 -0.1000000014901161E+00, -0.7607230849613204E-01, -0.2971897862001768E-04, 160.0
  0.0000000000000000E+00, -0.7607228560480830E-01, -0.2821540431612543E-04, 160.0
  0.1000000014901161E+00, -0.7607226477363388E-01, -0.2641705405719176E-04, 160.0
  0.2000000029802322E+00, -0.7607224654778992E-01, -0.2490677205000070E-04, 160.0
  0.3000000119209290E+00, -0.7607223074432549E-01, -0.2361718740848077E-04, 160.0
  0.4000000059604645E+00, -0.7607221720513795E-01, -0.2250329947658070E-04, 160.0
  0.5000000000000000E+00, -0.7607220579295466E-01, -0.2153309413491671E-04, 160.0
  0.6000000238418579E+00, -0.7607219638815052E-01, -0.2068277654968544E-04, 160.0
  0.6999999880790710E+00, -0.7607218888619094E-01, -0.1993409371983704E-04, 160.0
  0.8000000119209290E+00, -0.7607218319555915E-01, -0.1927271027677719E-04, 160.0
  0.8999999761581421E+00, -0.7607217923606110E-01, -0.1868716261163512E-04, 160.0
  0.1000000000000000E+01, -0.7607217693742796E-01, -0.1816815322774212E-04, 160.0
  0.1100000023841858E+01, -0.7607217623815642E-01, -0.1770805674741199E-04, 160.0
  0.1200000047683716E+01, -0.7607217708454117E-01, -0.1730056373428303E-04, 160.0
  0.1299999952316284E+01, -0.7607217942986301E-01, -0.1694041768929911E-04, 160.0
  0.1399999976158142E+01, -0.7607218323370964E-01, -0.1662321703843787E-04, 160.0
  0.1500000000000000E+01, -0.7607218846139877E-01, -0.1634526367831996E-04, 160.0
  0.1600000023841858E+01, -0.7607219508349361E-01, -0.1610344563648075E-04, 160.0
  0.1700000047683716E+01, -0.7607220307539658E-01, -0.1589514524297263E-04, 160.0
  0.1799999952316284E+01, -0.7607221241700488E-01, -0.1571816672360510E-04, 160.0
  0.1899999976158142E+01, -0.7607222309242379E-01, -0.1557067884127999E-04, 160.0
  0.2000000000000000E+01, -0.7607223508972827E-01, -0.1545116938110578E-04, 160.0
  0.2099999904632568E+01, -0.7607224840076988E-01, -0.1535840912643034E-04, 160.0
  0.2200000047683716E+01, -0.7607226302102263E-01, -0.1529142356984008E-04, 160.0
  0.2299999952316284E+01, -0.7607227894946032E-01, -0.1524947106127596E-04, 160.0
  0.2400000095367432E+01, -0.7607229618847140E-01, -0.1523202642561247E-04, 160.0
  0.2500000000000000E+01, -0.7607231474380147E-01, -0.1523876935953036E-04, 160.0
  0.2599999904632568E+01, -0.7607233462452641E-01, -0.1526957711903990E-04, 160.0
